example_id,tweet_id,customer_message,historical_brand_reply,gold_intent,gold_intent_verified,should_escalate,escalation_reason,expected_action_or_facts,difficulty,annotator_notes,sampling_stratum,resolution_type
ex_0112,2246114,The moment when <USER> once again deletes all your saved albums! <URL>,<USER> Hey Marcel! Can you DM us your account's username or email address? We'll check backstage /NG <URL>,Playlist / Library,False,,,,,,Playlist / Library,private_escalation
ex_0113,1905854,<USER> I wish Spotify would notify me when my student subscription runs out so I could update it before being charged full price!,"<USER> Hey Aaron, help's here! Can you DM us your account's email address and username? We'll take a look backstage /MX <URL>",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0114,1776978,"<USER> I was wondering why Spotify doesn't have a block feature. I understand users can't contact each other, but I still don't want a person I've tried to remove from my life following me and seeing my activity.","<USER> Hey there! To help make this happen, add your support to the official idea here: <URL> /LO",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0115,482459,<USER> The spotify app keeps crashing on launch on my oneplus 5??,<USER> Hi Ville! Are you getting any error messages? What Android and Spotify versions are you using right now? We'll see what we can suggest /LP,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0116,1007060,"<USER> Hi! This album is by Bain Wolfkind and it's on his page, but the individual credits are misspelled as 'Bain Wolkind'. Can you guys fix this? <URL>","<USER> Hey Jort, we appreciate the heads up! Don't worry, we'll make sure to pass this on to the right folks /GK",Content Availability,False,,,,,,Content Availability,other
ex_0117,345525,<USER> Thanks. Hope you noticed there was some sort of distortion with <USER>'s track. Might have to review the whole album if you have time too.,<USER> No worries! We listened to the track and was able to hear the distortion too. Our Content team is already looking into it. /RK,Content Availability,False,,,,,,Content Availability,other
ex_0118,688062,<USER> For some reason I can't stream on Extreme quality on mobile data,"<USER> Hi there! That doesn't sound good. Are you getting any errors when streaming on Extreme quality while using your mobile data? If so, send us a screenshot so we can take a closer look /QI",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0119,2293432,<USER> I would like to sign up for family plan. We would like to keep our playlists..how?,<USER> Hey William! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0120,1267539,<USER> bring back the touch preview feature tf u doing,<USER> Hey! We have more info about this here: <URL> Give us a shout if you have any questions /NQ,Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0121,2476346,<USER> Bah. Will have to hope more appears soon. Thanks!,"<USER> You're welcome! If you have any questions regarding the App, let us know. We're always... <URL> ✌️ /BD",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0122,2504281,"<USER> I know, same!! I have to change my location but for that, I have to pay first, and there is no f**ing way I'm giving them my money, so I'll switch to apple music, I'd rather give my money to them than to those cunts from <USER>","<USER> Hey Anna, sorry to hear that. Could you DM us your username and email address? We'll see what we can suggest /PX <URL>",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0123,2941484,"<USER> <USER> <USER> - Hi, any chance of Agony and Irony being added onto the library? Thank you :)",<USER> Hey there! We’ll have it available to you as soon as it’s available to us. <URL> /PL,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0124,1961620,<USER> All of my songs I had downloaded on my phone suddenly undownloaded. Is there a way to figure out what happened?,<USER> Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at <URL> They should help with this /AK,Playback / Audio,False,,,,,,Playback / Audio,informational
ex_0125,2752815,"<USER> , can you please fix your shuffle? 400+ songs in a playlist and it plays the same 50 songs any time I press shuffle. There's variety in a playlist for a reason lmfao",<USER> Hey there! The cavalry's here. Can you DM us your account's email address? We'll see what we can suggest /KB <URL>,Playback / Audio,False,,,,,,Playback / Audio,private_escalation
ex_0126,2251316,<USER> How are you going to give me a link that don’t work,"<USER> Well, that's embarrassing! Try this link: <URL> Keep rocking 🤘 /DQ",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0127,293450,"Hey <USER>, NMF could have been significantly better with a couple <USER> remixes we've all been waiting on.","<USER> We hear you, Ben! Your feedback has been noted and passed onto the team /PX",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0128,1898854,<USER> deleting half my downloaded songs for some reason and I gotta redownload it all back 😒😒😒 WHY IT DO THAT THO. IS IT A BUG??? <URL>,"<USER> Hey, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at <URL> Keep us posted /ND",Playback / Audio,False,,,,,,Playback / Audio,informational
ex_0129,1052727,<USER> Hi! Can I ask how to unsubscribe my plan in premium subp for spotify?,<USER> Hi! We've replied to your DM. Let's continue chatting there /GU,Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0130,1867391,<USER> Someone changed the email on my account and now I can't login! Please help!!! <USER> <USER>,"<USER> Hey Jessica, that's not cool! Can you DM us your account's username and email address? We'll take a look backstage /JX <URL>",Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0131,2456243,"<USER> I tried to update my payment info through the app and it says ""Oops something went wrong"" but I got charged anyway. Tried it again from the browser and the same thing happened. So now I've been charged twice and still have no access to Hulu.",<USER> Hey Jade! We'll help out. Can you DM us your account's email address? We'll take a look under the hood /AN <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0132,2165538,"<USER> Where do I turn off my 2 other devices so I can have all 10,000 on my phone?","<USER> We're sorry if we don't have that option. Don't worry, we'll let our devs know this is something you'd like to see in the future /GK",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0133,2110679,<USER> Can you guys put <USER> 1999 album plzzz🙏,"<USER> Hey there! We’d love to have all of his music available, but we have some info about content here: <URL> /KB",Content Availability,False,,,,,,Content Availability,other
ex_0134,1091680,<USER> All sorted. iOS update didn’t show any saved albums etc only saved playlists. Required a restart to solve issue. Many thanks for the offer.,"<USER> Glad to hear everything's sorted out! If you need anything else, you know where to find us 🙂 /DB",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0135,1291277,"<USER> Was too lazy to do that, but it's working now. Just needed to restart computer i guess.",<USER> Nice! We're glad it's working now. Now let's... <URL> /ND,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0136,2759838,Trying to update my <USER> CC info so I dont lose my premium. And it won't LOAD. 3 days in a row 😐,<USER> Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0137,2473701,<USER> - if <URL> have been charging me £9.99 via my phone bill for Premium service - yet I am still on Free with you - who refunds me the charges? Thanks.,<USER> Hey there! Can you DM us your account's username or email address? We'll check under the hood /PL <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0138,2388065,"<USER> Hi, I'm trying to reproduce this track <URL> but I'm not able to do it, am I doing something wrong? is this track not available to me for some reason?",<USER> Hey Alessandro! What country is your account set to? We'll check things out /AY,Content Availability,False,,,,,,Content Availability,other
ex_0139,906647,"Yo <USER>, fix this or tell me how to turn this off <URL>",<USER> Hi! We're afraid it's not possible to turn off Suggested tracks as it's part of our Free service on mobile: <URL> /JP,Feature / Product Question,False,,,,,,Feature / Product Question,troubleshooting
ex_0140,1731296,"<USER> Saya sudah bayar untuk Premium kemarin, sudah ada tanda terimanya tapi kenapa masih free ya tulisannya? terimakasih <URL>","<USER> Hi there! We can help out in English via Twitter, but we also have [LANGUAGE] support via email at <URL> /NY",Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0141,289169,"<USER> Restarted yesterday several times. App performance may be within tolerance for Spotify, I am used to the speed of Groove.",<USER> Sorry to hear that. Could you drop us a DM? We'll carry on helping out there /JE <URL>,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0142,2246195,"<USER> Is the rumor about Spotify hifi just a rumor, or will it be offered to customers soon? I am getting inpatient. There are other alternatives, you know!","<USER> 2: Rest assured, we'll pass your feedback to the relevant folks. For anything else, we're just a tweet away /LP",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0143,2251418,Hey <USER> you really need to fix your app so its compatible with the iPhone X’s screen dimensions. Right now the UI is pretty broken.,<USER> Hi Larry. We understand - we’re working on it as we speak. Stay tuned! /QI,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0144,1691143,"<USER> Thank you. But does that move an account., or just delete it along with the history and playlists etc?","<USER> No worries! This'll only remove the account from your plan. All the music, playlists, and saved songs will stay as they are /BH",Account / Login / Security,False,,,,,,Account / Login / Security,other
ex_0145,1694977,<USER> I’m home now and it seems to working correctly. I’m not sure what happened.,"<USER> It could have been just a temporary issue. We're glad to hear it's working fine now. If it ever happens again, just send us a tweet /LO",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0146,792229,<USER> 6S ios 11.1 (it happened even before I updated),<USER> That's odd. Does logging out and back in help? Restarting your phone is also worth a shot /CX,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0147,1193679,<USER> <USER> there’s like a whole monsta x album missing on spotify fix it uglies,<USER> Hey there! Could you let us know which album is missing? We'll take a look /TB,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0148,2001074,"<USER> is there any way to stop video ads during the music? Banner ads, or when it should be an ad is ok, but they hold up the music",<USER> Hey there! Can you send us your account's email address or username via DM? We'll see what we can suggest /JE <URL>,Ads,False,,,,,,Ads,clarification_request
ex_0149,353172,<USER> I am unable to log in on your website. Pretty much everything i click on throws an error saying to many redirects. I have tried multiple browsers and cleared the cookies on them still no luck.,"<USER> Hey there! Don't worry, help's here. Can you let us know and device and operating system you're using? We'll see what we can suggest /MT",Account / Login / Security,False,,,,,,Account / Login / Security,clarification_request
ex_0150,2948,<USER> Thanks. Here's the link: <URL>,<USER> 2: resending your ideas and using keywords that will help your idea easier to find /RB,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0151,429231,<USER> Hi could you message me please I think my account has been compromised.,<USER> Hi! We've just replied to your DM. Let's continue chatting there /GT,Account / Login / Security,False,,,,,,Account / Login / Security,other
ex_0152,1694957,"<USER> Im going to go premium , im using globe prepaid to pay , it alwyas says""somethings wrong"" ,",<USER> Can you DM us your account's email address or username? We'll take a look under the hood /PB <URL>,Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0153,1144396,<USER> <USER> pls. Add payment through load prepaid. Some of us students here in the Philippines don't have any credit cards. ☺☺ <URL>,"<USER> 2: To find a payment method that works for you, check here: <URL> /RS",Billing / Payment,False,,,,,,Billing / Payment,other
ex_0154,2793320,"<USER> Hi, I'd like to use Premium Family but my other family members don't live in my house :( is there anything you can do?","<USER> Hi, help's here! All members of a Premium for Family plan must reside at the same physical address as mentioned in our T&amp;Cs: <URL> Let us know if you need anything /JQ",Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0155,1850835,<USER> Negative. #FeatureEnhancement,<USER> Has it always been this way? Can you let us know if it started after an app or OS X update? /YM,Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0156,2340419,<USER> why'd you take off people are crazy by billy currington,<USER> Hi there. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /JU,Billing / Payment,False,,,,,,Billing / Payment,other
ex_0157,1113678,<USER> Plenty of notes with you from several conversations. Search under davobob,<USER> We're afraid we can't access your previous conversations with us. Can you refresh our memory over DM? /DR <URL>,Content Availability,False,,,,,,Content Availability,other
ex_0158,2114134,<USER> So I will get an email if they ever add it to the list or will they tell me if I am eligible for this discount ?,<USER> You'd get an email if your school is added to the list. You'd need to reapply for the student discount to receive it. Hope this helps /JX,Ads,False,,,,,,Ads,other
ex_0159,2950126,<USER> Im am. It said presale starts tomm,"<USER> If you've been selected, you'll receive an email that will allow you to participate in the pre-sale while it's running. We suggest checking your inbox (including spam/junk folders) regularly. We'll keep our fingers crossed for you 🙂 /NH",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0160,1739417,i’m so annoyed <USER> won’t play my playlist for some reason 🙄,"<USER> Hey there, we're here to help! Are you receiving an error message at all? Let us know /RV",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0161,1190777,Mas saya udah bayar langganan kok blom premium? <USER>,"<USER> Hey Daffa! We can help out in English via Facebook, but we also have Indonesian support through email at <URL> Let us know how you'd like to proceed /LP",Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0162,654656,<USER> A stávající uživatele tradičně nic...,"<USER> Hey! We don't offer Czech support right now, but we hope you don't mind if we reply in English. Can you let us know what’s happening exactly? /LO",Ads,False,,,,,,Ads,clarification_request
ex_0163,508871,"Spotify premium is not working! Huhu, why <USER>? 😭😭😭","<USER> Hey there, we're here to help! Could you DM us your account's username and email address? We'll take a look backstage /BX <URL>",Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0164,1904069,Why isn't there <USER> The Island Kid on <USER> ): #ph1 #theislandkid #h1ghrmusic #aomg,"<USER> Hey there! We’d love to have all of their stuff available, but we have some info about content here: <URL> /NS",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0165,2190890,<USER> spotify where is Taylor swift Reputation? Huhu lol,"<USER> Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> 🙂 /JI",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0166,837859,"<USER> Student discount? 4.99! now, #Hulu? SIGN ME UP! but i feel that Student discount should be opened to high schoolers! #seniorStudent","<USER> 2: now, you can head to <URL> to show your support to the official idea /MG",Billing / Payment,False,,,,,,Billing / Payment,informational
ex_0167,1956602,<USER> On iPhone 6S and Spotify Premium!,"<USER> 1: Thanks. Can you also let us know the exact iOS and Spotify versions you're running? To check the Spotify version, open the app...",Premium / Subscription,False,,,,,,Premium / Subscription,other
ex_0168,788756,"<USER> None of those are applicable. Sorted it now anyway, just curious to why it happened in the first place","<USER> 1. The reasons for desyncing are varied depending on the device you're using, but we're glad everything's working again.",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0169,187629,<USER> neither worked :s,<USER> Got it! Could you check if the same thing happen while using the desktop app? /PL,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0170,2038910,"Did <USER> remove the ""label:"" search option?",<USER> Hey Ragnar! This advanced search option is still available. Are you getting an error message when you search for tracks by label? /KB,Content Availability,False,,,,,,Content Availability,other
ex_0171,2458503,<USER> Can you bring it back? It was one of the best and most unique features of <USER> .,"<USER> Don't worry, we've already given our devs a nudge that this is something that you miss. We'll be a tweet away if you ever need us again /CH",Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0172,352651,"<USER> can you tell <USER> <USER> you had a ""Fresh Beats"" contest in 2016 and gave premium account/1yr as a prize and I won one",<USER> <USER> <USER> Hey! We've just sent a DM your way. We'll carry on chatting there 🙂 /Q,Account / Login / Security,False,,,,,,Account / Login / Security,other
ex_0173,885125,<USER> its happened with everything ive listened to on data and wifi for the last week,"<USER> Don't worry, we'll do our best to get this sorted out. Can you DM us your account's email address? We'll look into it /GS <URL>",App / Device / Technical,False,,,,,,App / Device / Technical,private_escalation
ex_0174,1934609,<USER> can you add a feature where people on my Wifi can add to the queue on my wireless speakers? That’d be super smash,"<USER> Hi, we can see how that’d be useful! Suggest it in our Community at <URL> and get support from other users /AK",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0175,783577,Hey <USER> what's with the serious lack of Joan Jett &amp; The Blackhearts? Please fix 😘 <URL>,"<USER> Hey there! We’d love to have all of their stuff available, but we have some info about content here: <URL> /RV",Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0176,890663,<USER> Typically yes. Today everything unsaved except my playlists,<USER> Got it. Can you DM us your account's email address or username? We'll take a look backstage /MT <URL>,Playlist / Library,False,,,,,,Playlist / Library,private_escalation
ex_0177,1868248,<USER> finding it impossible to upgrade to premium on my phonnnne. Keep getting this dead end pg 🤦‍♂️ <URL>,"<USER> Hey! What country are you trying to get Premium from? Also, let's try clearing your browser's cache and cookies. Keep us posted /BH",Premium / Subscription,False,,,,,,Premium / Subscription,troubleshooting
ex_0178,2584489,"<USER> Hi, can I have a refund for 3 months of paying too much for spotify please?","<USER> Hey there! Can you DM us your account's email address, and let us know exactly what's going on? We'll see what we can suggest /RB <URL>",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0179,577396,<USER> I contacted to my distributor and they said that they didnt recieved the sales report of october for my song Your Beautiful Face,<USER> We're just replying to your DM now 💚 /I,Playback / Audio,False,,,,,,Playback / Audio,other
ex_0180,426782,"<USER> I just got kicked off my family plan and can’t get back on it. Every time I put in the confirmation, “something went wrong”","<USER> Hey there, we're here to help. Can you DM us the accounts' email addresses? We'll check backstage /AC <URL>",Premium / Subscription,False,,,,,,Premium / Subscription,private_escalation
ex_0181,1783942,<USER> .. you're Family sign-up process is a train wreck. I went from a very satisfied advocate to a very frustrated critic. Over night!,"<USER> Hi Michael, sorry to hear you feel that way. Could you DM us your account's username or email address? We'll check backstage /RE <URL>",Ads,False,,,,,,Ads,private_escalation
ex_0182,1542060,"No, I dj/produce material for the artiste that has the wrong content on their page! I don’t wanna release songs knowing it not sorted <URL>","<USER> We understand how you feel. Don't worry, we've passed this on to our Content team. Hopefully it gets fixed soon /SY",Content Availability,False,,,,,,Content Availability,other
ex_0183,2017328,<USER> why am I paying £12.99 a month for this when my daughter is paying £9.99 feel like I'm being robbed! #pissedoff #robbed,"<USER> Hey Carla, we're here to help! Could you DM us with your account's username and email address? We'll take a look backstage /TB",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0184,1604426,"<USER> Apparently it's been the best part of a decade since this basic feature has been requested. They're already tagged, just let me filter them.","<USER> We hear you. While we don't have any more info to share right now, we'll let the team know it's a feature you'd like to see /MU",Feature / Product Question,False,,,,,,Feature / Product Question,clarification_request
ex_0185,1690738,<USER> why are my downloaded songs skipping like I’m listening to a record player ?¿?,"<USER> Hey John! Does logging out, restarting your device, and logging back in help at all? Keep us posted /TF",Playback / Audio,False,,,,,,Playback / Audio,other
ex_0186,2190872,<USER> But people on my friend activity is showing playlists they have played with the song and artist. Mine doesn’t do that,<USER> 2: Spotify profile. We have more info about the Friend feed at <URL> Let us know if you have any other questions /LM,Playback / Audio,False,,,,,,Playback / Audio,clarification_request
ex_0187,1926376,<USER> I’ve tried that and I get nowhere. They don’t address my issues and ignore what I say. You aren’t doing anything to help either.,"<USER> 2: Give us the head's up when you have, and we'll be sure to get this chased up /K",Ads,False,,,,,,Ads,other
ex_0188,2471101,<USER> Why is Pretty Fly missing from the album!? :( <URL>,"<USER> Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /JN",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0189,378729,"<USER> If you can't remove it, is there a way I could censor that ad or can you at least limit the number of times it plays?","<USER> We're afraid this isn't possible right now, but you can make it happen by adding your vote to this idea here: <URL> /CH",Playback / Audio,False,,,,,,Playback / Audio,informational
ex_0190,2852990,"<USER> Managed to find it, but thanks for getting back to me.","<USER> We're glad you figured it out! If you ever need anything else, give us a shout and we'll come running 🏃 /DI",Content Availability,False,,,,,,Content Availability,other
ex_0191,1850839,"<USER> Thanks, but not the issue. Will keep using itunes for podcasts","<USER> Okay! We'll pass this on to our tech team. If you ever need anything else, just shout and we'll come running 🏃 /KL",Content Availability,False,,,,,,Content Availability,other
ex_0192,353157,"<USER> Just switched from a S7 to S8...Facebook login takes me to a nonpremium account that has none if my playlists, songs etc.",<USER> Thanks. Can you DM us your account's username or email address? We'll check backstage /AP <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0193,575121,"<USER> When I go to Programs and click “Uninstall,” it shows me the same message as when I try to open Spotify. That it’s missing ‘api-ms-win-core-processthreads-|1-1-1.dll’",<USER> Hmm. Could you DM us your account's username or email address? We'll check behind the scenes /RE <URL>,Ads,False,,,,,,Ads,private_escalation
ex_0194,541671,"Hello <USER> I got this notification on my cell phone, how do I activate this deal online? I can't find this deal anywhere on your site or cell app? #Spotify <USER> <URL>",<USER> Hi Matthew! We've just sent a DM your way. Let's carry on chatting there /QI,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0195,80938,<USER> where tf is my presale code for <USER> tix? I listen to her more than any other artist.,<USER> Hey Michael! Pre-sale codes are being sent out by email to some of Billie Eilish's biggest fans on Spotify. Hopefully you're one of them! /MX,Content Availability,False,,,,,,Content Availability,other
ex_0196,1862818,<USER> I was charged $ 5.99 after putting in my card details but not finalising the subscription,<USER> Hey Christian! Can you DM us your account's username or email address? We'll take a look backstage /TC <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0197,744390,<USER> <URL> and my account is a UK one. Was searching for his song 'Pray' which is track #9 and it's curious I can't see it!,<USER> Got it. It appears that the other two tracks aren't available due to licensing. More info at <URL> /AY,Account / Login / Security,False,,,,,,Account / Login / Security,clarification_request
ex_0198,739007,<USER> seriously stop making me listen to your sponsored ads. I have never ONCE experienced 30 mins of ad free listening. 😂 #whatajoke,"<USER> 1: Hey Nicole, that doesn't sound good! Did the video ad you were watching crash at any point during the 30-minutes? That can...",Ads,False,,,,,,Ads,other
ex_0199,1788403,<USER> its connected now but thank you,"<USER> No worries! If anything else comes up, just say the word. We're always a tweet away 🙂 /MT",App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0200,1379251,Pls add Jooyoung-Lucy I need that shit asap :'( <USER>,"<USER> Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /RB",Ads,False,,,,,,Ads,other
ex_0201,123498,<USER> why no 'So' by Peter Gabriel? One of my faves from when I was a young un that I'm disappointed to find missing from your library,"<USER> Hey, we hear you! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: <URL> /TR",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0202,1797815,"<USER> Hey, so I can't log in to Spotify with my facebook. Please help me(i'm kind of annoyed)I just wanted to listen to Post Malone",<USER> Hey! What's happening exactly? Are you getting any specific error messages when you try logging in? We'll do our best to help out /NJ,Account / Login / Security,False,,,,,,Account / Login / Security,other
ex_0203,2606819,"<USER> hey,registration not working properly.when you register new account with Login XXXX, your login will look like 24 char hash",<USER> Hey there! Could you DM us a screenshot of what you're seeing? We'll see what we can suggest /GU <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0204,999828,<USER> Can you please kindly share the presale code for <USER> tix???,<USER> Hey Alice. Pre-sale codes are being sent out by email to some of Jhene Aiko's biggest fans on Spotify. Hopefully you're one of them! 😁 /NS,Feature / Product Question,False,,,,,,Feature / Product Question,other
ex_0205,2492530,<USER> And we have no way to access the account.,<USER> We'd be happy to get this sorted out for you. Can you send us a DM? We'd like to speak on this matter privately. We'll be right here /TF <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0206,1709597,can <USER> get lemonade. thanks. it’s the only thing that’s missing.,"<USER> Hey! We're working on it, and we hope to have it available soon. There's more info here: <URL> /RH",Playlist / Library,False,,,,,,Playlist / Library,clarification_request
ex_0207,2939738,"<USER> Allright, so you charged me double the amount of my subscription while I only have 1 family account",<USER> Could you send us a DM with your account's email address? We'll take a look backstage /MA <URL>,Billing / Payment,False,,,,,,Billing / Payment,private_escalation
ex_0208,43462,Hey <USER>! Do you know Devin Dazzle and the Neon Fever by <USER> isn’t in the right order? Just a heads up! ❤️,<USER> Hey there! Can you send us the album's Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /PB,Ads,False,,,,,,Ads,clarification_request
ex_0209,1126278,<USER> I tried with Edge and Firefox both private/incognito mode and normal. Here go the screenshots. <URL>,<USER> We've just sent more info via DM. Let's carry on chatting out there /MU,Other / Ambiguous,False,,,,,,Other / Ambiguous,clarification_request
ex_0210,1666497,<USER> should have a way to filter your library by genre 🤔,"<USER> Hey Gabrielle, nice idea! It's definitely something for the team to consider and we'll make sure it reaches them /RA",Playlist / Library,False,,,,,,Playlist / Library,other
ex_0211,2121301,"This is a bad ad <USER>. Also, 'featuring' is basically invisible. <URL>","<USER> Hey Jordan! We appreciate your feedback. Not to worry, we'll make sure it's passed on to the relevant folks 💚 /NG",Ads,False,,,,,,Ads,other
ex_0212,2342539,By the time <USER> adds Saint Mary's (San Antonio) to their student discount I'm going to be graduated and can't use it.,"<USER> Hi Alex, help's here! Can you DM us your account's email address? We'll take a look backstage /DV <URL>",Ads,False,,,,,,Ads,private_escalation
ex_0213,38309,"<USER> <USER> I’m having payment problems, I’ve messaged you",<USER> <USER> Hey Siobhan! We've just replied to your DM. We'll carry on helping out there /KM,Billing / Payment,False,,,,,,Billing / Payment,other
ex_0214,2021272,<USER> having problems with my account! Can you help a bih out?!?! 😘,<USER> Hey! We'd be happy to help out. What's happening exactly? Can you DM us your account's email address or username? /NQ <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0215,23271,"<USER> cool that existing subscribers don’t get a deal, a real great job all round folks",<USER> Hey! We're sorry to hear you feel that way. You can check out other deals like the student discount (<URL> or Premium for Family to get a better rate for Premium (<URL> /JL,Premium / Subscription,False,,,,,,Premium / Subscription,informational
ex_0216,1683984,<USER> Am I an idiot or is there no way to re-arrange tracks in a created playlist?,<USER> Hey there! You can do this on the desktop app. Just drag and drop the songs to rearrange the tracks in your playlists 🙂 /KL,Playback / Audio,False,,,,,,Playback / Audio,informational
ex_0217,1118183,<USER> You don’t send push notifications? What’s the point of following an artist if you don’t notify of a new release? Seems like a core feature…,<USER> We understand how you might feel about this. Rest assured we'll pass on your feedback to the right team /JS,Content Availability,False,,,,,,Content Availability,other
ex_0218,522743,<USER> My wife is unable to join the family account I setup. She accepted the invite but the signup screen fails.,<USER> Hey Harry! Can you DM us both of your usernames or email addresses? We'll take a look backstage /LO <URL>,Account / Login / Security,False,,,,,,Account / Login / Security,private_escalation
ex_0219,2407029,"<USER> Hi, my email isn't working for student discount, keeps saying it's already in use when it isnt.",<USER> Hey! Can you DM us your account's email address you're using? We'll take a look backstage /SJ <URL>,Ads,False,,,,,,Ads,private_escalation
ex_0220,44384,<USER> Do I really need to have a credit card/debit card? Are there other ways to avail this promo?,<USER> Hey! Can you try logging in to your account at <URL> You should see a Globe/Smart option. Note that there's a price difference due to the payment method. Let us know how it goes /SJ,Billing / Payment,False,,,,,,Billing / Payment,other
ex_0221,2490961,<USER> better give me a presale code for this. No missing out on <USER> in NY again.,<USER> Hey Ryan! Pre-sale codes are being sent out by email to some of his biggest fans on Spotify. Hopefully you're one of them 🙂 /CG,Playlist / Library,False,,,,,,Playlist / Library,other
ex_0222,1545505,Atleast this time I got some closure 🙏🏼😞 #Bringback$uave <URL>,<USER> Fingers crossed we'll have it again in the future. Let us know if there's anything else /AP,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0223,1190774,<USER> make Spotify available for albania PLEASE,<USER> Hi there! We're launching in new countries as often as possible. Be sure to add your email at <URL> Fingers crossed we'll be with you soon /NJ,Other / Ambiguous,False,,,,,,Other / Ambiguous,other
ex_0224,2412712,<USER> <USER> trying to use your app on the iPhone X is brutal,<USER> Hey Noah! We understand - we’re working on it as we speak. Be sure to stay tuned /CG,App / Device / Technical,False,,,,,,App / Device / Technical,other
ex_0225,1274798,How the HELL do I get <USER> premium off shuffle? 😫,"<USER> Hi there! To turn off shuffle, tap the 'now playing' bar, then deselect the shuffle icon in the bottom left. Let us know how it goes 🙂 /JI <URL>",Premium / Subscription,False,,,,,,Premium / Subscription,troubleshooting
ex_0226,497716,"<USER> My new card has been charged by ya'll, and I haven't used your services for years? My Spotify account doesn't even have my info updates. How do we resolve this?","<USER> Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG <URL>",Billing / Payment,False,,,,,,Billing / Payment,private_escalation
